Documentation Name,Category,URL of Location,Location (text),Description of Item,Destination,Last Update,Planned Cadence,Status,Notes
Data Mismatch Troubleshooting,Guide,https://domo-support.domo.com/s/article/360042937734?language=en_US,KB,How to troubleshoot a data discrepancy,Mintlify,10/24/22,Yearly,Not Moved,
IDDQ Domo Tool,Guide,https://domo-support.domo.com/s/article/360048297214?language=en_US,KB,How to use the IDDQ tool,Mintlify,5/24/23,bi-annually,Not Moved,
L3 Connector Team Requests,Guide,https://domo-support.domo.com/s/article/360044417993?language=en_US,KB,How to submit a request to the L3 team,Mintlify,12/20/24,Yearly,Not Moved,
Requesting the DataSet Merge Feature,Guide,https://domo-support.domo.com/s/article/360043442413?language=en_US,KB,How to request the merge feature for a given dataset,Mintlify,10/24/24,Yearly,Not Moved,
Run Workbench 5 under 15 mins,Guide,https://domo-support.domo.com/s/article/360043442433?language=en_US,KB,Instructions for getting approval for a customer to run a workbench job more often than every 15 mins,Drop,10/24/22,N/A,N/A,
Troubleshooting Dataset Via Email Connector,Guide,https://domo-support.domo.com/s/article/360047491213?language=en_US,KB,Instructions on how to troubleshoot the Dataset Via Email Connector,Mintlify,10/24/22,Yearly,Not Moved,
Workbench Impersonation (Scheduled Jobs Not Running),Guide,https://domo-support.domo.com/s/article/360060512693?language=en_US,KB,How to fix workbench jobs not running on a schedule,Mintlify,10/24/22,Yearly,Not Moved,
Converting an Instance to HIPAA,Guide,https://domo-support.domo.com/s/article/360042937794?language=en_US,KB,How to convert an instance to a HIPAA compliant instance,Mintlify,10/24/22,Yearly,Not Moved,
Fiscal Calendar Guide,Guide,https://domo-support.domo.com/s/article/360062446994?language=en_US,KB,How to implement a Fiscal Calendar for a cutomer,Mintlify (We should change the title to differentiate this more from customer facing article),6/12/23,Yearly,Not Moved,We should consider the naming convention for  this article vs. The customer facing one
Group Dataset Ownership (beta),Deprecated Beta CF article,https://domo-support.domo.com/s/article/4937066992407?language=en_US,KB,"Deprecated customer facing article, some customers may still be using this (potentially)",Drop,11/30/23,N/A,N/A,
Group Ownership of Accounts,Deprecated Beta CF article,https://domo-support.domo.com/s/article/4403537355543?language=en_US,KB,"Deprecated customer facing article, some customers may still be using this (potentially)",Drop,10/8/24,N/A,N/A,
Process Instance Deletion Request,Guide,https://domo-support.domo.com/s/article/000005780?language=en_US,KB,How to process a customer's Instance Deletion request,Mintlify,1/21/25,Yearly,Not Moved,
Rename a Customer Instance,Guide,https://domo-support.domo.com/s/article/360043442613?language=en_US,KB,How to rename a Customer's Instance,Mintlify (Can we change this to a customer facing article?),11/7/22,Yearly,Not Moved,Maybe worth making a customer facing version of this article
Resending the Domo Invite Email,Guide,https://domo-support.domo.com/s/article/360042937834?language=en_US,KB,How to resend a Domo Invite email for a customer,Mintlify,10/24/22,Yearly,Not Moved,
Using Data Admin,Guide,https://domo-support.domo.com/s/article/360042937854?language=en_US,KB,How to use Data Admin for troubleshooting,Mintlify,10/24/22,Yearly,Not Moved,
Dealing with Performance Issues on Large Datasources,Guide,https://domo-support.domo.com/s/article/360043442273?language=en_US,KB,Troubleshooting performance issues with different types of large data sources,Mintlify,10/24/22,Yearly,Not Moved,
How to Request Magic ETL Scripting Tile Packages/Libraries,Guide,https://domo-support.domo.com/s/article/360043442293?language=en_US,KB,How to handle customer requests for libraries and packages,Mintlify,10/24/22,Yearly,Not Moved,Has any of this changed with the move to the approval center recently?
Increasing Timeout for ADR Flows,Guide,https://domo-support.domo.com/s/article/4406616222615?language=en_US,KB,Instructions on handling a customer case with an adrenaline dataflow that times out,Mintlify,10/24/22,Yearly,Not Moved,"Review for relevancy, might be an approval center request now"
Recursive Weforms V.1,Guide,https://domo-support.domo.com/s/article/360042936574?language=en_US,KB,How to set up a recusrive Webform,Mintlify,10/24/22,Yearly,Not Moved,
Diagnosing Issues in Customer Cards,Guide,https://domo-support.domo.com/s/article/360043442253?language=en_US,KB,How to retrieve error information for cards,Mintlify,10/24/22,Yearly,Not Moved,Review for new IDDQ features that may help
Accessing a Customer Instance,Guide,https://domo-support.domo.com/s/article/360043442633?language=en_US,KB,Outdated instructions on how to access a customer instance,Mintlify,10/24/22,Yearly,Not Moved,Needs to be updated for current steps to log into customer instance using SF
Beta Feature Bug/Enhancement Support Process,Guide,https://domo-support.domo.com/s/article/360042937474?language=en_US,KB,Outdated instructions on handling tickets opened about a Beta Feature,Mintlify,10/24/22,Yearly,Not Moved,Needs to be updated with the current process
Domo University (Docebo) Admin FAQ,Guide,https://domo-support.domo.com/s/article/4406209381015?language=en_US,KB,"Guide on handling beta cases, some of the information appears to be outdated and needs updating",Mintlify,10/24/22,Yearly,Not Moved,Needs to be reviewed and updated with new processes
Enabling Writeback Connectors,Template,https://domo-support.domo.com/s/article/360043442713?language=en_US,KB,Outdated Template for enabling Writeback Connectors,Mintlify,10/24/22,Yearly,Not Moved,The template should be removed and we should replace it with the new process for enabling writeback connectors
Enterprise Oauth Process,Guide,https://domo-support.domo.com/s/article/000005476?language=en_US,KB,Outdated instructions on enabling an Enterprise Oauth Connector which I believe no longer exists,Drop,10/24/22,N/A,N/A,We should probably completely drop this article
Handling Corda Legacy Product Requests,Guide,https://domo-support.domo.com/s/article/000005804?language=en_US,KB,Outdated instructions on handling Corda Legacy tickets,Mintlify,10/24/22,Yearly,Not Moved,Needs updating with current process
How to Request a Workspace (VCR),Guide,https://domo-support.domo.com/s/article/360042937874?language=en_US,KB,Outdated instructions on requesting a VCR,Drop,10/24/22,N/A,N/A,"This is no longer something we do, article should be dropped"
Jupyter Workspace: Compute Tier Limits,Reference Material,https://domo-support.domo.com/s/article/7872485267991?language=en_US,KB,Possibly outdated Juptyer workspace limits,Mintlify,10/24/22,Yearly,Not Moved,We need to verify that these limits are still up to date
Moving a Support Case to Product Feedback,Guide,https://domo-support.domo.com/s/article/360042937894?language=en_US,KB,Guide to move tickets over to Product Feedback,Drop,10/24/22,N/A,N/A,"The process is so different now, this article needs to be dropped and a new article created"
SOP for AWS Interruptions,SOP,https://domo-support.domo.com/s/article/360043442673?language=en_US,KB,SOP  for what happens if the VCR isn't available,Drop,10/24/22,N/A,N/A,We no longer use AWS for our VCR
URL Hooks and Text Replacement,Reference Material,https://domo-support.domo.com/s/article/360043442813?language=en_US,KB,A list of hooks we can use in troubleshooting and helping customers with their issues,Mintlify,10/24/22,Yearly,Not Moved,Review to make sure these hooks all work still. Some of them might be folded into IDDQ
Domo Publish Case Handling,Guide,https://domo-support.domo.com/s/article/360043442513?language=en_US,KB,A guide on troubleshooting Publish tickets,Mintlify,10/24/22,Yearly,Not Moved,Needs to be reviewed and make sure its up to date
Scheduled Report Troubleshooting,Guide,https://domo-support.domo.com/s/article/360060509253?language=en_US,KB,A guide on troubleshooting Scheduled Report Issues,Mintlify,10/24/22,Yearly,Not Moved,Review to make sure this is up to date
Custom App Support Cases,Guide,https://domo-support.domo.com/s/article/360043442473?language=en_US,KB,A guide on handling custom app support cases,Mintlify,10/15/24,Yearly,Not Moved,
Jira Ticket Creation Overview,Guide,https://domo-support.domo.com/s/article/360043442493?language=en_US,KB,A guide on how to create a ticket,Mintlify,10/24/22,Yearly,Not Moved,Needs to be reviewed and make sure the process is still the same
CEO View,Deprecated Domo Content,https://domo-support.domo.com/s/article/360058529493?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Competitive Momentum | Implementation Guide,Deprecated Domo Content,https://domo-support.domo.com/s/article/360043881074?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Contact Tracing,Deprecated Domo Content,https://domo-support.domo.com/s/article/360058529233?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Digital Traffic | Implementation Guide,Deprecated Domo Content,https://domo-support.domo.com/s/article/360044363633?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Digital Traffic App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360042933474?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Facilities Management,Deprecated Domo Content,https://domo-support.domo.com/s/article/360056655374?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
GBTW: 9 Success Factors in Returning to a Physical Facility,Deprecated Domo Content,https://domo-support.domo.com/s/article/360058889834?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Get Back to Work Solution,Deprecated Domo Content,https://domo-support.domo.com/s/article/360056653654?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Marketing Attribution | Implementation Guide,Deprecated Domo Content,https://domo-support.domo.com/s/article/360044364413?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Marketing Attribution App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360042933874?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Opportunity Center | Implementation,Deprecated Domo Content,https://domo-support.domo.com/s/article/360044365473?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Productivity Indicators App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360056655734?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Programmatic Revenue,Deprecated Domo Content,https://domo-support.domo.com/s/article/360047231334?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Safety Training,Deprecated Domo Content,https://domo-support.domo.com/s/article/360058532353?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Sales Leaderboard | Implentation Guide,Deprecated Domo Content,https://domo-support.domo.com/s/article/360044407833?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Sales Leaderboard App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360042934074?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Social Index App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360043438733?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Social Performace,Deprecated Domo Content,https://domo-support.domo.com/s/article/360043438753?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Talent Pipeline | Implementation Guide,Deprecated Domo Content,https://domo-support.domo.com/s/article/360048298634?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Talent Pipeline App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360043438793?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Temperature Scanning,Deprecated Domo Content,https://domo-support.domo.com/s/article/360056653514?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
YouTube Viewer Demographic App,Deprecated Domo Content,https://domo-support.domo.com/s/article/360043438833?language=en_US,KB,Deprecated Content,Drop,N/A,N/A,N/A,
Workflows Troubleshooting Guide,Guide,https://domo-support.domo.com/s/article/000005847?language=en_US,KB,Troubleshooting guide,Mintlify,5/15/25,Yearly,Not Moved,
Cloud Integrations (Cloud Amplifier) Troubleshooting,Guide,https://domo-support.domo.com/s/article/000005871?language=en_US,KB,Troubleshooting guide,Mintlify,7/29/25,Yearly,Not Moved,
Domo Technical Support Troubleshooting Guide: Alerts,Guide,https://domo-support.domo.com/s/article/000005869?language=en_US,KB,Troubleshooting guide,Mintlify,7/22/25,Yearly,Not Moved,
Troubleshoot the Pro-Code Editor,Guide,https://domo-support.domo.com/s/article/000005862?language=en_US,KB,Troubleshooting guide,Mintlify,6/20/25,Yearly,Not Moved,
App Studio Troubleshooting Guide,Guide,https://domo-support.domo.com/s/article/000005872?language=en_US,KB,Troubleshooting guide,Mintlify,8/13/25,Yearly,Not Moved,
Domo Variables Troubleshooting,Guide,https://domo-support.domo.com/s/article/000005873?language=en_US,KB,Troubleshooting guide,Mintlify,8/20/25,Yearly,Not Moved,
Embed Content Outside of Domo - 3rd Party Analytics,Guide,https://domo-support.domo.com/s/article/000005755,KB,Enablement Guide,Mintlify,1/27/25,Yearly,Not Moved,
How to Request Magic ETL Scripting Tile Packages/Libraries,Guide,https://domo-support.domo.com/s/article/360043442293?language=en_US,KB,Enablement Guide,Drop,10/22/22,N/A,N/A,
Troubleshoot Single Sign-On (SSO) with OpenID Connect (OIDC) in Domo,Guide,https://domo-support.domo.com/s/article/000005914,KB,Troubleshooting Guide,Mintlify,10/20/25,Yearly,Not Moved,
Troubleshoot SSO with SAML in Domo,Guide,https://domo-support.domo.com/s/article/000005912,KB,Troubleshooting Guide,Mintlify,10/10/25,Yearly,Not Moved,
Troubleshooting App Studio,Guide,https://domo-support.domo.com/s/article/000005872,KB,Troubleshooting Guide,Mintlify,10/13/25,Yearly,Not Moved,
Windowing Functions in Beast Mode,Guide,https://domo-support.domo.com/s/article/360042925534,KB,Troubleshooting Guide,Mintlify,10/24/22,Yearly,Not Moved,
